,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,60,30,120,50,70,40,50,40,70,90
1,120,40,90,30,40,70,60,50,80,130
2,60,40,50,50,30,20,0,30,30,30
3,40,60,80,60,40,70,80,80,40,70
4,40,70,50,40,70,20,30,80,30,20
5,30,20,20,50,0,20,40,20,20,50
6,50,50,120,50,20,40,60,40,40,60
7,50,90,50,120,70,80,70,80,30,70
8,60,70,70,70,80,80,30,30,80,50
9,40,20,70,60,50,40,70,50,30,20
10,60,70,60,100,90,60,40,100,60,70
11,40,60,40,70,30,30,10,30,30,20
12,30,20,90,30,40,50,100,40,60,70
13,50,70,80,50,70,40,60,40,60,100
14,90,60,40,60,80,40,80,50,90,120
15,40,70,50,10,60,40,30,40,80,30
16,40,20,0,20,0,10,40,20,60,60
17,40,40,30,30,30,30,20,20,10,20
18,40,50,10,20,30,20,0,30,30,40
19,50,10,50,50,70,80,40,20,60,100
20,60,10,30,30,50,50,30,30,30,40
21,50,60,70,30,60,60,80,60,40,20
22,30,30,50,20,60,20,30,10,10,10
23,40,20,50,60,40,20,50,30,30,20
24,40,30,60,40,20,10,50,20,40,50
25,90,40,50,20,130,90,80,50,100,60
26,30,70,30,30,10,30,30,60,20,50
27,20,110,70,90,80,90,50,50,80,70
28,10,20,40,50,30,50,10,20,40,0
29,70,50,80,80,60,40,50,70,70,50
30,60,70,60,40,60,130,90,40,40,30
31,40,120,80,100,40,80,80,50,30,90
32,20,130,50,90,40,120,110,40,50,60
33,40,40,60,50,40,40,50,40,20,70
34,30,30,20,0,40,10,20,50,50,20
35,10,40,10,30,30,40,30,10,50,20
36,60,30,60,70,60,60,80,60,60,80
37,50,30,50,40,20,30,50,10,40,40
38,80,50,60,70,30,60,60,30,70,20
39,80,70,70,80,80,80,70,60,80,40
40,40,50,30,20,20,60,10,30,10,0
41,80,60,30,30,40,50,20,50,80,90
42,50,20,40,10,20,60,50,40,20,50
43,80,30,30,90,70,40,40,90,40,20
44,70,100,60,80,70,40,80,50,20,50
45,50,50,60,40,80,80,60,50,40,20
46,50,20,10,50,30,20,40,10,20,20
47,70,110,70,30,50,40,60,90,70,30
48,60,70,10,90,60,40,60,10,70,60
49,80,50,80,90,40,80,40,90,90,70
