,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,90,170,210,120,190,120,160,140,130,120
1,100,30,80,50,80,80,110,70,40,90
2,40,10,50,40,80,90,100,140,100,80
3,100,60,10,90,50,40,100,20,60,20
4,160,150,150,70,120,120,150,70,140,140
5,130,120,140,130,180,130,120,150,170,180
6,50,50,50,50,40,110,50,60,50,40
7,110,190,60,90,130,90,120,190,170,120
8,110,130,130,20,70,130,100,110,140,150
9,90,60,70,100,60,30,90,80,70,80
10,160,150,130,170,90,100,210,180,120,140
11,120,100,130,90,110,150,70,100,110,110
12,50,70,10,70,90,10,50,80,70,50
13,60,20,80,50,30,90,110,20,40,50
14,70,90,130,130,100,120,180,140,80,50
15,60,50,40,80,40,80,50,50,60,40
16,70,70,90,110,30,110,80,50,50,70
17,80,130,40,100,110,70,110,110,90,70
18,140,160,170,160,140,170,120,130,140,120
19,150,120,100,90,120,40,140,130,110,90
20,120,150,60,140,110,70,80,110,140,110
21,100,120,170,90,170,120,80,110,140,170
22,130,110,90,90,110,60,110,100,170,120
23,80,80,80,70,110,60,40,90,60,60
24,100,160,140,160,170,90,80,130,120,120
25,80,40,50,120,130,140,130,90,70,60
26,110,130,80,110,150,100,80,140,110,80
27,150,110,190,200,150,90,130,140,90,200
28,170,130,90,110,130,130,130,120,130,130
29,110,50,70,70,100,80,50,80,90,30
30,50,30,60,90,30,60,30,80,40,80
31,130,110,120,60,100,150,60,40,60,80
32,40,100,70,190,80,100,30,70,150,80
33,100,190,130,110,100,110,50,90,110,100
34,30,60,80,50,30,30,60,30,100,80
35,150,140,90,60,60,160,110,90,90,140
36,50,60,70,90,70,50,30,30,40,60
37,130,130,230,100,100,120,170,160,160,150
38,90,70,110,110,70,100,80,90,130,60
39,50,80,100,60,90,60,130,60,50,50
40,90,140,170,120,130,160,160,150,140,190
41,120,70,120,80,100,170,130,120,90,90
42,120,120,100,50,110,40,130,70,90,80
43,170,160,80,120,100,80,140,60,210,150
44,70,120,60,100,50,90,110,110,110,90
45,80,50,60,60,90,90,90,70,40,100
46,70,80,90,70,80,80,40,100,50,70
47,110,120,130,190,90,210,100,190,130,180
48,130,50,90,150,190,100,90,90,60,140
49,130,110,150,170,140,220,130,170,90,140
