,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,0,0,2136,0,2136,0,2136,0,0
1,0,0,0,0,24,0,0,0,48,0
2,0,0,173,0,0,173,0,173,0,0
3,0,0,131,0,131,131,0,0,0,0
4,0,0,19,0,0,0,0,0,19,19
5,0,445,0,445,445,0,0,0,0,0
6,0,0,0,47,0,0,47,0,47,0
7,0,0,0,698,698,0,0,698,0,0
8,0,0,1202,0,0,0,0,601,0,0
9,0,0,0,349,0,0,698,0,0,0
10,0,0,0,0,1986,0,0,0,1986,1986
11,0,0,0,0,0,112,0,0,0,56
12,198,0,0,99,0,0,0,0,0,0
13,51,0,0,51,0,51,0,0,0,0
14,0,0,0,0,0,0,436,0,436,436
15,0,0,32,0,0,0,32,32,0,0
16,0,0,0,0,1337,0,1337,1337,0,0
17,28,28,0,0,0,0,0,28,0,0
18,402,0,0,0,0,402,0,0,402,0
19,0,0,0,0,184,0,184,0,184,0
