,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,119,119,0,0,0,0,0,0,0,0
1,80,80,0,0,0,0,0,0,0,0
2,105,105,0,0,0,0,0,0,0,0
3,101,101,0,0,0,0,0,0,0,0
4,77,77,0,0,0,0,0,0,0,0
5,101,101,0,0,0,0,0,0,0,0
6,100,100,0,0,0,0,0,0,0,0
7,109,109,0,0,0,0,0,0,0,0
8,99,99,0,0,0,0,0,0,0,0
9,96,96,0,0,0,0,0,0,0,0
10,109,109,0,0,0,0,0,0,0,0
11,102,102,0,0,0,0,0,0,0,0
12,94,94,0,0,0,0,0,0,0,0
13,106,106,0,0,0,0,0,0,0,0
14,94,94,0,0,0,0,0,0,0,0
15,94,94,0,0,0,0,0,0,0,0
16,107,107,0,0,0,0,0,0,0,0
17,97,97,0,0,0,0,0,0,0,0
18,116,116,0,0,0,0,0,0,0,0
19,124,124,0,0,0,0,0,0,0,0
20,106,106,0,0,0,0,0,0,0,0
21,102,102,0,0,0,0,0,0,0,0
22,98,98,0,0,0,0,0,0,0,0
23,81,81,0,0,0,0,0,0,0,0
24,100,100,0,0,0,0,0,0,0,0
25,90,90,0,0,0,0,0,0,0,0
26,82,82,0,0,0,0,0,0,0,0
27,68,68,0,0,0,0,0,0,0,0
28,88,88,0,0,0,0,0,0,0,0
29,92,92,0,0,0,0,0,0,0,0
30,117,117,0,0,0,0,0,0,0,0
31,96,96,0,0,0,0,0,0,0,0
32,110,110,0,0,0,0,0,0,0,0
33,109,109,0,0,0,0,0,0,0,0
34,79,79,0,0,0,0,0,0,0,0
35,88,88,0,0,0,0,0,0,0,0
36,106,106,0,0,0,0,0,0,0,0
37,98,98,0,0,0,0,0,0,0,0
38,90,90,0,0,0,0,0,0,0,0
39,86,86,0,0,0,0,0,0,0,0
40,104,104,0,0,0,0,0,0,0,0
41,104,104,0,0,0,0,0,0,0,0
42,93,93,0,0,0,0,0,0,0,0
43,102,102,0,0,0,0,0,0,0,0
44,96,96,0,0,0,0,0,0,0,0
45,99,99,0,0,0,0,0,0,0,0
46,100,100,0,0,0,0,0,0,0,0
47,101,101,0,0,0,0,0,0,0,0
48,103,103,0,0,0,0,0,0,0,0
49,89,89,0,0,0,0,0,0,0,0
50,105,105,0,0,0,0,0,0,0,0
51,96,96,0,0,0,0,0,0,0,0
52,92,92,0,0,0,0,0,0,0,0
53,107,107,0,0,0,0,0,0,0,0
54,106,106,0,0,0,0,0,0,0,0
55,125,125,0,0,0,0,0,0,0,0
56,94,94,0,0,0,0,0,0,0,0
57,109,109,0,0,0,0,0,0,0,0
58,113,113,0,0,0,0,0,0,0,0
59,115,115,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,107,0,107,0
61,0,0,0,0,97,0,0,0,0,97
62,0,0,0,0,84,0,0,0,84,0
63,0,0,0,0,0,85,85,0,0,0
64,0,0,0,0,96,96,0,0,0,0
65,0,0,0,104,104,0,0,0,0,0
66,0,0,0,0,0,0,0,95,95,0
67,0,0,0,96,0,0,96,0,0,0
68,0,0,109,109,0,0,0,0,0,0
69,0,0,0,0,116,0,0,0,116,0
70,0,0,0,0,0,95,0,0,0,95
71,0,0,0,114,114,0,0,0,0,0
72,0,0,0,0,0,0,0,108,108,0
73,0,0,0,0,0,102,102,0,0,0
74,0,0,0,0,0,0,94,0,0,94
75,0,0,0,0,0,97,97,0,0,0
76,0,0,0,100,100,0,0,0,0,0
77,0,0,88,0,0,0,0,0,88,0
78,0,0,0,84,0,0,84,0,0,0
79,0,0,0,0,0,100,0,100,0,0
80,0,0,102,102,0,0,0,0,0,0
81,0,0,0,0,99,0,0,99,0,0
82,0,0,87,0,0,0,87,0,0,0
83,0,0,0,0,0,0,102,102,0,0
84,0,0,0,0,0,188,0,0,0,0
85,0,0,0,110,0,0,0,110,0,0
86,0,0,102,102,0,0,0,0,0,0
87,0,0,0,0,0,0,0,100,0,100
88,0,0,0,0,88,0,0,88,0,0
89,0,0,0,101,101,0,0,0,0,0
90,0,0,0,0,81,0,0,81,0,0
91,0,0,0,0,95,0,0,95,0,0
92,0,0,100,0,0,0,100,0,0,0
93,0,0,0,0,98,98,0,0,0,0
94,0,0,90,90,0,0,0,0,0,0
95,0,0,0,99,0,0,99,0,0,0
96,0,0,0,91,0,0,0,0,91,0
97,0,0,0,99,0,0,0,0,0,99
98,0,0,0,91,0,91,0,0,0,0
99,0,0,110,0,0,0,0,0,0,110
