,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,100,0,0,100,200,100,0,100,100
1,0,100,0,300,0,100,200,100,0,0
2,200,100,100,0,100,0,100,0,0,0
3,0,100,0,100,0,0,0,0,0,300
4,100,0,0,0,100,0,100,300,0,100
5,200,300,100,0,0,100,0,0,0,0
6,0,100,0,100,0,100,0,300,200,0
7,0,0,100,200,0,100,0,0,100,0
8,0,100,0,0,0,100,200,100,0,100
9,0,0,100,0,200,0,0,0,100,100
10,400,0,0,0,0,0,0,100,200,100
11,0,0,100,100,0,100,100,0,100,0
12,0,200,0,100,100,0,0,200,0,200
13,0,0,100,0,200,100,0,100,0,100
14,100,100,0,0,100,0,0,100,100,100
15,0,0,0,200,0,200,0,0,0,0
16,100,100,100,200,0,200,100,0,0,0
17,100,100,100,100,0,0,200,100,0,0
18,0,0,100,100,0,0,0,100,100,0
19,0,100,100,100,0,0,100,0,200,100
20,0,0,0,100,100,200,0,0,200,0
21,0,100,0,100,0,100,0,100,100,0
22,0,100,0,0,100,100,100,100,100,0
23,0,100,200,0,0,100,0,100,100,0
24,0,0,100,100,0,100,0,200,0,0
25,100,0,100,100,0,100,0,100,0,100
26,100,0,0,100,0,100,0,0,100,0
27,100,0,100,100,0,200,0,0,0,0
28,0,100,0,100,100,0,100,0,200,0
29,0,200,100,0,100,100,0,0,0,100
30,0,0,0,100,100,0,200,0,100,0
31,0,100,100,100,0,100,0,0,0,100
32,0,0,0,0,0,0,0,200,0,200
33,200,100,100,0,0,0,0,100,0,100
34,0,200,0,0,200,100,100,0,0,100
35,100,0,0,200,0,0,100,200,0,200
36,100,100,300,100,100,0,0,0,0,0
37,200,0,0,0,0,0,100,200,0,100
38,100,0,0,0,0,0,0,200,200,100
39,100,0,0,0,0,100,100,200,0,100
40,0,100,0,0,100,100,0,0,200,200
41,200,100,0,0,0,0,0,0,100,0
42,0,100,100,100,0,100,0,0,0,0
43,100,0,0,0,0,0,200,100,100,0
44,200,100,0,0,200,100,100,100,0,0
45,200,300,0,0,0,0,0,0,100,0
46,0,100,0,0,100,0,100,100,0,0
47,200,0,100,200,0,100,100,0,0,100
48,100,100,400,0,0,100,0,0,100,0
49,0,100,0,0,0,0,200,200,200,100
50,0,0,100,100,100,100,0,0,0,200
51,0,100,0,100,100,0,100,100,0,0
52,300,0,200,0,0,100,0,0,0,0
53,0,0,0,200,0,100,100,200,0,200
54,100,100,200,0,0,100,100,100,0,0
55,100,0,0,0,300,0,0,0,0,0
56,0,100,0,0,100,0,0,100,300,100
57,100,200,0,0,0,100,0,0,0,0
58,100,0,200,100,0,200,100,0,0,100
59,0,100,0,0,100,0,100,0,100,100
60,0,0,200,0,0,0,200,100,0,100
61,0,0,0,0,100,200,100,0,100,100
62,0,0,0,100,200,0,0,0,0,100
63,0,100,100,0,0,100,0,100,0,0
64,100,200,0,100,100,200,0,0,0,100
65,0,0,0,0,0,100,0,100,0,500
66,0,0,100,0,0,0,100,0,200,0
67,0,0,100,100,100,0,0,200,0,0
68,100,0,100,100,100,0,100,0,0,100
69,0,100,0,0,0,0,100,100,0,100
70,0,100,100,0,0,0,100,100,100,0
71,0,200,0,0,100,0,0,0,200,0
72,100,0,100,0,0,0,200,0,100,0
73,0,0,0,100,200,100,0,100,0,0
74,200,0,100,0,100,0,200,200,0,0
75,0,0,400,0,100,0,0,0,0,100
76,100,0,0,100,0,0,0,0,100,100
77,100,0,200,0,0,300,0,100,0,0
78,100,100,100,0,300,100,100,0,0,0
79,0,200,0,200,100,100,100,0,0,0
80,0,100,0,0,100,0,200,0,100,100
81,0,0,200,100,0,100,100,0,0,0
82,0,0,0,0,100,100,100,0,100,0
83,0,0,100,200,0,0,0,0,100,0
84,200,0,100,100,0,100,100,0,100,100
85,100,0,100,0,100,0,100,100,0,0
86,0,0,200,0,200,0,0,0,100,100
87,200,0,0,0,0,100,0,0,100,100
88,0,200,0,200,100,0,100,100,100,0
89,0,0,0,0,200,0,200,0,0,0
90,0,200,0,0,300,100,0,100,0,100
91,0,100,0,0,0,100,0,100,300,100
92,100,0,100,0,200,0,0,0,0,200
93,0,100,100,100,100,0,100,0,100,0
94,0,0,0,100,0,0,0,100,200,100
95,100,0,0,200,100,100,100,0,100,0
96,200,0,100,200,0,0,100,100,100,0
97,200,0,0,100,0,100,200,0,100,100
98,0,100,0,100,100,100,100,100,100,100
99,100,0,0,200,100,0,0,0,0,0
