,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,300,0,0,0,0,300,0,0,0,0
1,0,300,0,300,0,0,0,0,0,0
2,300,0,0,0,0,0,0,300,0,0
3,0,0,0,0,0,0,300,0,0,300
4,0,0,600,0,0,0,0,0,0,0
5,0,0,0,0,300,0,300,0,0,0
6,0,0,0,0,300,0,0,0,300,0
7,0,0,0,0,300,0,300,0,0,0
8,0,0,0,0,0,300,0,300,0,0
9,300,0,0,0,0,0,0,300,0,0
10,0,300,0,0,300,0,0,0,0,0
11,0,0,300,0,0,0,300,0,0,0
12,0,0,0,0,300,0,0,0,300,0
13,300,0,0,300,0,0,0,0,0,0
14,0,0,0,300,0,300,0,0,0,0
15,300,0,0,300,0,0,0,0,0,0
16,300,0,0,300,0,0,0,0,0,0
17,0,0,300,0,0,0,0,0,300,0
18,0,0,0,0,0,0,300,0,0,300
19,300,0,0,0,0,0,0,0,300,0
20,300,0,0,300,0,0,0,0,0,0
21,0,0,0,0,300,0,0,300,0,0
22,0,0,0,0,0,300,0,0,0,300
23,0,0,0,0,600,0,0,0,0,0
24,0,0,300,0,0,300,0,0,0,0
25,300,0,0,0,0,0,0,0,300,0
26,300,0,0,0,0,0,0,300,0,0
27,0,300,0,0,0,0,0,300,0,0
28,0,0,300,0,0,0,300,0,0,0
29,0,0,300,300,0,0,0,0,0,0
30,0,0,0,300,0,0,300,0,0,0
31,0,0,0,0,0,0,0,300,0,300
32,0,0,0,0,600,0,0,0,0,0
33,0,0,0,0,0,300,0,0,300,0
34,0,0,0,0,300,0,0,300,0,0
35,0,0,0,0,300,0,300,0,0,0
36,0,300,0,300,0,0,0,0,0,0
37,0,0,300,0,0,0,300,0,0,0
38,0,0,0,300,0,0,300,0,0,0
39,0,0,0,0,0,0,0,0,300,300
40,0,0,0,0,0,300,0,300,0,0
41,0,0,0,0,0,0,300,0,0,300
42,300,0,0,300,0,0,0,0,0,0
43,0,300,0,0,0,300,0,0,0,0
44,300,0,0,0,0,0,0,0,0,300
45,0,0,0,300,0,0,0,0,300,0
46,0,0,300,0,0,0,0,0,300,0
47,0,300,0,0,0,0,0,300,0,0
48,0,0,0,300,0,0,300,0,0,0
49,300,0,0,0,300,0,0,0,0,0
50,0,300,0,0,0,0,300,0,0,0
51,0,0,0,0,0,0,0,0,300,300
52,300,0,0,0,0,0,300,0,0,0
53,0,300,300,0,0,0,0,0,0,0
54,0,0,0,0,300,0,0,300,0,0
55,0,0,0,0,0,0,300,0,0,300
56,300,0,0,0,0,0,0,0,0,300
57,0,0,0,0,0,0,0,0,300,300
58,0,0,0,0,300,300,0,0,0,0
59,0,300,0,0,0,0,300,0,0,0
60,0,0,0,0,0,300,0,0,0,300
61,0,0,0,600,0,0,0,0,0,0
62,0,300,300,0,0,0,0,0,0,0
63,0,0,0,0,0,600,0,0,0,0
64,0,300,0,0,0,0,300,0,0,0
65,0,0,300,0,0,0,0,0,300,0
66,0,0,300,0,0,0,0,300,0,0
67,0,0,0,0,0,300,0,300,0,0
68,0,0,0,0,0,0,0,0,300,300
69,0,0,0,0,0,0,0,300,0,300
70,0,0,0,0,300,0,0,0,300,0
71,0,300,0,0,0,0,0,0,300,0
72,0,0,0,300,0,0,0,0,0,300
73,0,300,0,0,300,0,0,0,0,0
74,300,0,0,0,0,0,300,0,0,0
75,0,0,300,0,0,0,0,300,0,0
76,0,0,0,0,0,0,300,300,0,0
77,0,300,300,0,0,0,0,0,0,0
78,0,0,0,300,0,300,0,0,0,0
79,0,0,0,300,0,0,0,0,300,0
80,0,0,0,0,0,300,0,0,300,0
81,0,300,0,0,300,0,0,0,0,0
82,0,0,300,0,300,0,0,0,0,0
83,0,600,0,0,0,0,0,0,0,0
84,300,0,0,0,0,0,0,300,0,0
85,300,300,0,0,0,0,0,0,0,0
86,0,300,0,0,0,0,0,300,0,0
87,0,0,300,0,0,0,0,0,300,0
88,0,300,300,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,300,300
90,0,0,300,0,0,0,300,0,0,0
91,300,0,0,0,0,0,0,0,0,300
92,0,0,0,0,0,0,0,300,300,0
93,0,0,0,0,0,600,0,0,0,0
94,300,0,0,0,0,300,0,0,0,0
95,0,0,0,0,300,0,0,0,0,300
96,0,0,0,600,0,0,0,0,0,0
97,0,0,0,0,0,300,0,0,0,300
98,0,0,0,0,0,300,0,300,0,0
99,0,0,300,0,0,0,0,0,0,300
