,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,0,60,0,0,0,0,0,0,60
1,0,0,0,0,149,0,0,0,0,149
2,17,0,0,17,0,0,0,0,0,0
3,0,0,0,0,21,0,21,0,0,0
4,0,0,0,0,0,0,337,0,337,0
5,0,0,0,0,12,0,0,0,0,0
6,0,0,0,9,9,0,0,0,0,0
7,0,0,0,99,0,99,0,0,0,0
8,0,0,0,0,0,0,0,0,5,5
9,7,0,0,0,7,0,0,0,0,0
10,0,0,46,0,0,0,46,0,0,0
11,0,0,60,0,0,0,60,0,0,0
12,6,0,0,0,0,0,6,0,0,0
13,0,0,0,0,654,654,0,0,0,0
14,0,0,0,0,332,332,0,0,0,0
15,0,0,0,0,0,82,0,0,82,0
16,0,61,0,0,0,0,61,0,0,0
17,1,0,0,1,0,0,0,0,0,0
18,0,17,0,17,0,0,0,0,0,0
19,20,0,0,0,0,0,0,20,0,0
20,0,0,0,3,0,0,0,0,3,0
21,0,8,0,0,0,0,0,8,0,0
22,0,0,0,0,0,0,0,42,0,0
23,0,0,0,0,0,0,76,76,0,0
24,0,0,0,13,0,0,0,0,0,13
25,0,0,43,0,0,0,43,0,0,0
26,0,17,0,0,0,0,0,17,0,0
27,1847,0,0,0,0,0,1847,0,0,0
28,0,0,0,0,0,0,0,0,0,1000
29,0,0,0,0,0,0,0,0,10,10
30,0,0,27,0,0,27,0,0,0,0
31,1,0,0,0,1,0,0,0,0,0
32,0,7,0,0,0,0,7,0,0,0
33,0,0,0,0,0,13,0,0,13,0
34,0,0,0,132,0,0,0,0,132,0
35,0,0,0,52,0,0,52,0,0,0
36,0,0,6,0,6,0,0,0,0,0
37,20,20,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,33,0,33,0
39,0,16,0,0,16,0,0,0,0,0
40,0,0,15,0,0,0,0,15,0,0
41,0,0,1,0,1,0,0,0,0,0
42,0,0,37,0,0,37,0,0,0,0
43,0,0,0,0,0,20,0,20,0,0
44,0,0,31,0,31,0,0,0,0,0
45,0,0,0,0,0,0,10,0,10,0
46,0,0,486,0,0,0,0,0,486,0
47,0,3006,0,0,0,0,0,0,3006,0
48,0,0,0,0,0,0,841,0,841,0
49,0,0,1,0,0,0,1,0,0,0
50,0,0,0,0,0,0,0,0,8,0
51,0,0,0,0,0,0,0,42,0,0
52,0,21,0,21,0,0,0,0,0,0
53,0,0,17,17,0,0,0,0,0,0
54,0,0,0,21,0,0,0,0,0,21
55,0,0,0,26,0,0,0,0,0,0
56,0,0,2,0,0,0,0,0,2,0
57,0,126,0,0,0,0,0,0,0,0
58,37,0,0,0,0,0,0,0,37,0
59,0,0,0,0,52,52,0,0,0,0
60,0,0,0,0,0,0,0,13,13,0
61,0,0,0,0,0,87,0,0,0,87
62,22,0,0,0,0,0,0,0,22,0
63,0,0,0,225,0,0,225,0,0,0
64,0,0,0,0,0,0,0,47,0,47
65,0,0,0,0,0,0,2127,0,2127,0
66,0,17,0,0,0,0,17,0,0,0
67,0,8,8,0,0,0,0,0,0,0
68,0,7,0,7,0,0,0,0,0,0
69,289,0,0,0,0,0,289,0,0,0
70,3,0,0,0,0,0,0,0,0,3
71,322,0,0,0,0,0,0,0,322,0
72,0,0,0,0,0,0,3,3,0,0
73,0,0,0,0,148,0,0,0,0,148
74,0,0,0,0,0,101,0,101,0,0
75,76,0,0,0,76,0,0,0,0,0
76,0,0,0,0,0,0,11,0,0,11
77,5,5,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,3,3
79,0,0,0,0,0,0,0,0,19,19
80,0,0,0,0,27,0,0,0,0,27
81,0,0,0,2,0,2,0,0,0,0
82,0,0,0,0,0,0,0,3838,0,0
83,0,0,0,0,0,0,4,4,0,0
84,0,0,30,0,30,0,0,0,0,0
85,52,0,0,0,0,0,52,0,0,0
86,0,0,0,13,0,13,0,0,0,0
87,0,0,0,0,0,19,0,0,0,19
88,0,62,0,0,0,0,62,0,0,0
89,0,0,15,0,0,0,0,15,0,0
90,0,0,4,0,0,0,4,0,0,0
91,10,0,0,0,0,0,0,10,0,0
92,0,0,0,0,0,0,0,398,0,398
93,0,6,0,6,0,0,0,0,0,0
94,0,0,0,0,11,0,0,11,0,0
95,0,0,0,0,49,49,0,0,0,0
96,0,0,0,0,0,185,0,185,0,0
97,200,0,0,0,0,0,0,0,0,200
98,149,0,0,0,149,0,0,0,0,0
99,0,0,0,0,0,1,0,1,0,0
