,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,0,0,100,0,0,100,100,200,0
1,100,200,0,0,0,0,0,0,200,100
2,0,100,0,0,100,100,100,0,0,0
3,100,0,0,200,0,100,200,0,100,0
4,0,0,0,100,100,0,0,0,200,0
5,100,200,0,0,100,100,0,0,100,0
6,100,0,100,0,0,0,200,100,100,100
7,0,0,100,0,100,0,100,200,100,100
8,0,0,0,200,200,0,100,0,0,100
9,0,0,0,0,0,200,100,100,0,0
10,0,0,100,100,0,100,0,0,200,200
11,200,0,0,0,100,0,100,0,100,200
12,0,0,100,200,0,100,100,100,0,100
13,0,100,200,100,0,100,0,0,100,100
14,100,100,0,0,0,100,0,100,100,0
15,100,0,200,0,0,200,0,0,100,100
16,0,100,100,100,0,100,0,100,200,0
17,0,200,100,200,0,0,100,100,0,100
18,100,200,100,0,0,100,0,0,0,100
19,0,200,100,100,100,0,0,0,100,0
20,0,100,0,0,100,0,100,100,0,0
21,100,0,100,0,100,200,0,200,0,0
22,200,100,0,0,100,100,0,100,0,200
23,0,0,0,100,100,100,100,400,0,0
24,100,0,0,0,100,0,100,0,100,0
25,100,100,200,0,100,0,0,0,0,0
26,0,0,200,0,100,0,100,0,0,0
27,100,0,100,0,100,100,100,0,200,100
28,300,0,100,0,100,0,0,100,0,0
29,100,200,0,0,0,0,0,0,100,0
30,200,0,200,100,100,0,0,100,0,0
31,0,100,0,100,0,200,100,0,100,0
32,100,100,0,100,200,100,0,100,0,100
33,100,0,0,100,0,100,0,100,0,0
34,0,0,0,100,200,200,100,0,100,0
35,0,100,0,100,100,0,200,0,0,100
36,100,0,0,0,100,100,100,0,100,0
37,100,0,0,200,100,100,100,0,0,0
38,0,100,100,0,200,200,0,100,100,0
39,0,100,100,0,0,0,100,100,0,0
40,0,100,100,0,0,0,100,100,0,0
41,100,100,0,0,200,0,100,0,0,100
42,0,0,0,200,0,200,0,200,200,0
43,100,200,0,0,0,0,0,100,0,0
44,200,0,100,0,200,100,0,100,0,100
45,100,0,100,0,0,0,100,0,100,100
46,0,0,200,200,100,0,100,100,100,0
47,100,0,300,0,0,0,0,200,0,0
48,0,0,0,0,200,200,100,100,100,100
49,100,200,0,0,100,0,100,0,100,0
50,100,0,100,0,0,0,0,100,100,0
51,100,0,200,0,100,100,0,0,0,200
52,0,100,100,100,0,100,0,100,100,200
53,300,100,100,0,0,0,0,100,200,0
54,100,0,100,0,0,0,0,100,100,100
55,100,100,0,0,0,100,100,0,100,100
56,0,0,0,100,0,200,100,200,100,0
57,0,100,0,0,100,200,0,300,100,0
58,0,100,0,400,100,0,0,200,0,0
59,0,0,100,0,0,0,200,0,100,100
60,0,100,0,0,0,0,100,100,0,100
61,0,300,0,100,0,0,100,0,0,100
62,200,0,100,100,0,0,0,0,100,0
63,0,200,100,200,0,0,0,0,0,0
64,100,100,0,200,100,0,200,0,0,0
65,0,0,100,100,0,0,100,100,0,100
66,0,0,0,0,200,100,0,100,0,0
67,0,0,100,0,0,100,100,100,0,0
68,100,200,0,0,0,0,100,100,100,100
69,100,100,0,0,0,0,0,0,100,100
70,0,100,0,0,100,200,200,0,0,200
71,100,100,200,200,100,0,0,0,0,0
72,0,100,0,100,0,100,0,100,0,400
73,200,100,0,100,0,100,0,100,0,200
74,0,0,0,300,0,0,100,0,100,200
75,200,0,0,0,100,100,0,0,0,0
76,0,0,100,100,100,0,0,0,200,0
77,100,100,100,0,0,0,0,0,100,0
78,0,100,0,0,0,200,200,0,0,0
79,100,100,0,200,100,0,100,0,0,0
80,200,100,0,0,0,0,100,0,200,200
81,100,0,200,0,200,100,0,100,0,0
82,0,0,100,200,100,0,200,0,100,0
83,0,0,0,0,0,0,100,100,200,100
84,100,0,100,0,200,0,100,100,0,0
85,100,100,100,0,0,0,0,200,0,0
86,0,0,0,100,200,200,100,0,0,100
87,0,0,0,300,0,0,0,100,200,0
88,0,100,100,100,300,0,0,0,0,0
89,100,0,0,0,0,100,200,0,0,300
90,100,0,200,0,0,0,200,0,0,0
91,100,100,0,0,0,100,0,100,0,200
92,0,100,100,0,100,200,0,100,100,0
93,0,100,0,100,100,100,0,0,200,100
94,0,100,0,0,0,0,100,0,100,200
95,0,0,200,100,0,0,200,200,0,100
96,0,0,100,0,0,100,0,0,0,200
97,0,0,100,100,200,100,0,0,0,100
98,100,100,100,0,0,0,0,0,0,0
99,0,0,0,0,0,100,0,0,0,0
