,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,0,9,0,0,9,0,0,0,0
1,0,56,0,0,0,0,0,0,0,56
2,0,0,0,0,0,93,93,0,0,0
3,0,0,2,0,2,0,0,0,0,0
4,9,0,0,0,0,0,9,0,0,0
5,70,0,0,0,0,0,70,0,0,0
6,0,0,0,0,0,66,66,0,0,0
7,0,0,0,0,58,0,0,58,0,0
8,0,0,50,0,0,0,50,0,0,0
9,0,0,30,0,0,0,0,30,0,0
10,76,0,0,0,0,0,0,0,0,76
11,114,0,0,0,114,0,0,0,0,0
12,0,0,0,0,0,0,0,38,0,38
13,2543,2543,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,78
15,0,0,0,0,80,0,0,0,0,0
16,0,0,14,0,14,0,0,0,0,0
17,0,0,0,0,0,0,0,0,198,0
18,0,0,0,0,0,0,0,1334,1334,0
19,92,0,92,0,0,0,0,0,0,0
20,22,0,0,0,0,0,0,0,0,22
21,0,14,0,0,0,14,0,0,0,0
22,0,0,0,3216,0,0,0,3216,0,0
23,0,0,0,0,0,0,72,0,0,72
24,0,0,0,0,0,0,554,0,554,0
25,0,0,0,0,0,103,0,0,0,103
26,0,846,0,0,0,0,0,846,0,0
27,0,0,0,46,0,46,0,0,0,0
28,0,0,6,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,2,0,2
30,0,0,11,0,0,11,0,0,0,0
31,0,128,128,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,128,0
33,0,0,172,0,0,0,172,0,0,0
34,0,0,120,0,0,0,120,0,0,0
35,0,0,0,171,0,0,0,171,0,0
36,0,24,24,0,0,0,0,0,0,0
37,0,0,0,0,2,0,0,0,0,2
38,0,0,15,0,0,0,15,0,0,0
39,0,0,0,0,0,0,65,65,0,0
40,0,6,0,0,0,6,0,0,0,0
41,0,0,0,0,0,32,0,32,0,0
42,0,0,28,28,0,0,0,0,0,0
43,0,0,638,0,0,0,638,0,0,0
44,3,0,0,0,0,3,0,0,0,0
45,0,4,0,0,0,0,0,4,0,0
46,0,0,0,0,0,0,0,41,41,0
47,0,0,1752,1752,0,0,0,0,0,0
48,0,0,0,0,91,91,0,0,0,0
49,0,0,0,115,0,0,115,0,0,0
50,0,0,0,0,0,218,0,0,0,218
51,0,88,0,0,0,88,0,0,0,0
52,0,190,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,34,0,0,0
54,0,0,0,0,36,0,0,0,0,36
55,19,19,0,0,0,0,0,0,0,0
56,0,0,0,0,50,0,0,0,0,0
57,0,88,88,0,0,0,0,0,0,0
58,0,0,0,47,0,0,0,0,0,47
59,0,37,0,0,0,0,37,0,0,0
60,0,987,0,0,0,0,0,0,987,0
61,65,0,0,0,65,0,0,0,0,0
62,0,0,0,0,0,185,0,185,0,0
63,0,0,0,0,2871,0,0,2871,0,0
64,0,0,0,0,432,0,0,0,0,0
65,0,0,0,181,0,0,0,0,181,0
66,0,157,0,0,0,0,0,157,0,0
67,0,0,184,184,0,0,0,0,0,0
68,20,0,20,0,0,0,0,0,0,0
69,16,0,16,0,0,0,0,0,0,0
70,0,0,0,0,0,0,25,25,0,0
71,0,0,0,0,2,0,2,0,0,0
72,0,0,0,0,717,717,0,0,0,0
73,0,0,0,15,0,0,15,0,0,0
74,0,0,0,0,0,0,0,140,0,140
75,22,0,0,0,0,0,0,0,22,0
76,0,0,0,98,98,0,0,0,0,0
77,10,0,0,0,0,0,0,0,10,0
78,0,0,8,8,0,0,0,0,0,0
79,0,0,0,0,0,1,0,0,0,1
80,0,145,0,0,0,0,0,0,145,0
81,133,0,0,0,133,0,0,0,0,0
82,0,0,0,37,37,0,0,0,0,0
83,0,70,0,0,0,0,0,70,0,0
84,0,0,0,121,0,0,121,0,0,0
85,0,0,10,0,0,0,0,10,0,0
86,0,0,0,0,0,243,0,243,0,0
87,0,169,0,0,0,0,169,0,0,0
88,0,0,0,0,24,0,0,24,0,0
89,0,0,0,0,0,11,0,0,11,0
90,0,49,0,0,0,0,0,49,0,0
91,0,0,0,0,0,0,0,80,80,0
92,146,0,0,0,0,0,0,146,0,0
93,59,0,0,0,0,59,0,0,0,0
94,0,0,19,0,0,0,0,19,0,0
95,20,0,0,20,0,0,0,0,0,0
96,0,0,5,0,0,0,0,0,0,5
97,160,0,0,160,0,0,0,0,0,0
98,0,0,0,0,0,0,35,35,0,0
99,120,0,0,0,0,0,0,120,0,0
