,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,100,200,0,0,200,0,100,0,0
1,0,100,100,0,100,100,0,0,200,0
2,0,100,100,200,100,0,0,0,0,0
3,0,300,0,0,0,0,100,0,100,100
4,0,0,0,100,100,0,100,0,0,100
5,100,100,0,0,100,0,0,0,0,100
6,0,0,0,0,0,0,0,200,0,200
7,0,0,0,200,400,100,0,0,100,0
8,100,0,0,100,0,100,100,0,200,100
9,0,0,200,0,0,0,0,100,0,200
10,0,100,0,100,100,0,0,100,100,0
11,0,0,100,200,200,0,0,0,0,100
12,0,0,0,0,100,0,0,200,100,0
13,100,0,23,77,200,200,100,100,0,0
14,0,200,0,0,0,100,100,100,0,0
15,100,0,100,0,0,0,0,100,0,100
16,0,100,0,100,200,100,0,0,51,49
17,100,0,300,0,0,0,100,0,200,0
18,0,0,0,0,100,0,0,200,100,0
19,0,100,0,0,0,100,0,200,0,0
20,0,0,0,0,100,100,100,200,0,100
21,200,0,100,100,0,0,0,100,300,0
22,0,100,0,200,0,100,200,0,100,100
23,100,0,100,0,200,200,0,0,0,0
24,0,0,100,0,0,100,100,0,100,0
25,0,100,100,0,100,100,0,200,0,0
26,0,100,0,200,0,0,0,0,200,100
27,0,0,100,200,0,100,100,0,0,200
28,0,300,200,0,0,0,0,0,200,0
29,100,0,100,0,0,0,100,0,0,100
30,100,0,200,0,100,0,0,200,0,100
31,0,200,0,0,100,0,0,0,100,0
32,100,0,0,100,200,0,0,0,100,200
33,100,100,100,0,0,0,0,100,0,100
34,100,100,100,100,0,0,100,100,0,0
35,0,0,100,100,0,0,0,100,100,0
36,100,100,0,0,0,0,200,100,100,0
37,100,100,100,0,0,0,0,200,100,100
38,0,0,0,200,0,100,0,0,100,0
39,0,100,100,100,100,0,0,100,100,100
40,0,200,100,100,0,100,0,0,100,100
41,0,100,0,0,0,300,0,0,0,0
42,0,100,100,100,0,0,200,100,0,0
43,100,100,100,100,0,0,300,100,0,0
44,100,100,0,100,100,0,0,100,100,200
45,100,0,100,0,200,100,0,100,100,0
46,0,0,0,200,0,100,100,100,0,100
47,0,0,0,0,300,0,100,100,100,100
48,0,100,0,0,0,300,0,0,200,0
49,300,0,0,100,100,100,0,100,0,100
50,0,100,300,0,300,0,100,0,0,0
51,200,0,0,0,0,100,200,0,0,0
52,0,200,200,0,0,0,200,0,100,100
53,0,100,0,100,0,100,0,0,100,0
54,0,100,0,100,0,0,100,0,100,0
55,100,0,100,0,200,0,100,100,100,0
56,300,0,0,0,0,0,0,0,200,100
57,100,100,0,100,100,0,100,100,0,100
58,100,200,0,0,0,0,100,100,0,0
59,100,0,0,0,0,217,183,0,100,100
60,0,200,0,100,0,0,0,100,0,0
61,0,100,200,0,100,0,100,0,100,100
62,100,0,200,0,0,100,0,0,0,0
63,200,0,0,0,100,100,200,0,100,100
64,200,100,0,0,0,0,0,0,100,100
65,0,0,100,100,200,0,100,100,100,100
66,0,100,100,100,0,0,100,0,0,100
67,100,0,200,0,96,4,135,165,0,100
68,0,300,0,100,0,0,0,0,100,100
69,0,0,0,100,100,200,0,0,0,0
70,23,177,100,100,0,0,0,200,0,100
71,100,0,0,100,100,0,200,0,100,100
72,0,100,100,0,300,100,0,0,100,0
73,100,0,100,100,0,100,200,200,0,0
74,0,100,0,100,100,0,100,100,100,0
75,0,100,0,100,0,100,0,0,100,0
76,0,100,100,100,200,100,0,0,0,0
77,0,100,200,100,100,0,0,0,100,100
78,200,100,0,100,0,100,100,0,100,0
79,0,200,0,0,0,0,0,100,0,100
80,100,0,100,0,0,200,0,100,0,200
81,100,0,100,100,0,100,200,0,100,0
82,200,0,100,0,0,0,100,0,0,100
83,100,100,0,100,100,200,100,0,0,0
84,0,0,100,100,0,100,100,200,0,200
85,0,100,0,0,0,100,100,100,100,0
86,0,100,100,100,200,100,0,100,100,0
87,100,0,0,200,0,0,0,100,0,0
88,0,0,0,154,46,0,0,0,200,0
89,0,0,0,200,100,0,200,200,0,100
90,100,0,0,100,0,0,100,100,0,0
91,100,0,100,0,0,100,0,0,0,200
92,200,0,100,100,0,0,100,100,0,200
93,200,100,0,100,0,100,0,0,100,200
94,200,100,0,0,0,0,100,100,0,200
95,200,100,0,100,0,200,100,100,0,0
96,0,165,135,0,100,100,0,0,0,0
97,100,0,0,0,0,0,100,300,100,100
98,100,0,0,100,0,0,100,0,0,100
99,100,200,100,0,0,0,0,0,0,0
