,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,100,300,0,0,100,0,0,0,0,200
1,100,0,100,0,0,0,100,100,0,100
2,100,0,0,0,0,100,100,100,0,100
3,0,100,0,200,100,0,0,100,0,100
4,100,0,100,0,100,0,0,0,100,100
5,0,0,0,0,0,100,100,0,100,200
6,100,0,0,0,0,200,100,100,100,0
7,100,100,100,100,100,100,100,0,100,0
8,0,200,0,200,0,0,0,0,0,0
9,0,100,0,100,100,200,0,0,0,0
10,100,100,100,200,0,100,0,0,0,0
11,23,77,100,0,200,0,100,0,100,200
12,0,0,0,100,100,100,100,100,0,0
13,0,0,0,0,196,104,0,100,0,100
14,100,0,100,0,100,0,0,100,0,200
15,0,100,23,177,0,100,100,200,100,0
16,100,100,0,0,100,100,200,0,0,100
17,0,0,100,200,200,100,0,0,0,100
18,100,100,100,200,100,0,0,0,100,100
19,0,100,0,100,0,0,200,0,100,0
20,100,100,0,0,100,0,0,0,300,0
21,100,0,100,100,0,100,100,100,100,0
22,100,0,0,200,100,0,0,0,0,100
23,0,200,0,0,0,100,100,0,200,0
24,200,0,100,0,0,0,0,0,200,0
25,0,100,100,200,0,0,100,0,100,0
26,0,100,0,100,0,100,0,100,0,0
27,0,100,300,200,0,0,0,100,100,0
28,0,0,0,0,300,0,100,0,0,0
29,0,100,100,0,200,100,100,100,0,100
30,0,100,100,0,100,200,100,100,100,0
31,100,100,0,0,0,100,0,0,200,100
32,0,200,100,100,100,0,100,100,0,100
33,100,300,0,100,0,100,100,100,0,0
34,0,100,0,0,0,100,0,100,200,100
35,0,200,100,200,200,100,0,0,0,0
36,100,0,100,0,0,100,100,100,0,0
37,0,0,300,0,100,0,0,0,100,0
38,100,100,0,0,100,100,100,100,0,0
39,0,0,100,0,0,100,100,0,0,100
40,100,100,0,54,46,0,0,0,100,0
41,0,0,200,0,0,0,100,300,200,0
42,0,200,0,200,0,100,0,100,0,100
43,100,0,300,0,0,0,0,100,100,0
44,0,100,0,0,100,0,100,0,0,200
45,0,100,0,0,100,0,0,100,0,100
46,0,200,0,0,0,0,200,100,100,100
47,0,0,0,0,100,100,200,100,100,0
48,100,0,100,100,0,0,0,0,0,100
49,0,100,0,100,100,0,100,200,51,149
50,0,0,0,200,100,0,0,200,200,100
51,0,200,100,0,100,100,0,0,200,100
52,0,200,100,100,0,0,0,100,200,0
53,200,100,0,100,0,100,100,0,100,0
54,200,100,100,0,0,17,83,100,0,0
55,0,100,0,0,200,0,100,0,100,0
56,0,0,100,0,0,0,200,200,0,0
57,100,0,100,0,100,0,0,100,0,0
58,0,0,0,0,0,200,300,100,100,100
59,200,0,100,0,0,0,0,0,200,100
60,100,0,100,100,100,0,200,200,0,0
61,100,0,100,100,100,0,200,100,100,0
62,100,100,0,0,100,100,0,300,0,0
63,0,100,100,0,200,200,0,100,0,100
64,200,100,0,100,0,0,100,0,100,100
65,100,0,100,200,100,200,0,0,0,100
66,200,100,0,0,100,100,0,100,0,0
67,0,100,100,0,0,100,0,0,300,0
68,0,0,0,200,0,0,200,0,100,200
69,300,0,0,100,0,0,0,0,100,0
70,100,0,0,100,100,0,0,0,100,100
71,100,0,200,200,0,100,0,0,100,0
72,0,100,100,0,0,100,200,100,0,100
73,0,0,100,0,0,100,100,0,0,200
74,0,0,100,200,200,100,0,0,100,100
75,100,100,0,100,100,0,200,100,0,100
76,0,100,100,100,100,200,0,0,0,0
77,0,0,0,100,100,100,0,300,0,200
78,200,100,0,100,0,0,0,0,0,100
79,200,100,100,0,100,0,100,100,100,0
80,0,0,100,0,100,100,100,100,0,200
81,0,0,0,100,200,100,100,0,0,0
82,200,100,100,100,0,0,0,0,0,300
83,0,0,0,100,100,0,0,300,100,0
84,0,100,100,0,0,100,0,0,200,0
85,300,100,100,0,0,0,100,0,0,200
86,100,0,100,100,0,0,0,100,0,100
87,0,0,0,0,0,0,135,65,100,100
88,200,0,100,100,100,100,0,0,100,0
89,0,200,300,0,0,0,0,100,0,0
90,0,0,0,100,100,0,0,100,0,100
91,0,100,100,100,0,0,0,100,0,100
92,0,265,35,100,0,100,100,100,0,0
93,100,100,0,0,0,100,100,100,0,0
94,100,0,0,0,100,100,0,100,0,0
95,100,0,100,0,0,100,200,0,0,100
96,0,0,100,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,100,0
98,0,100,0,0,0,0,0,0,0,0
99,100,0,0,0,0,0,0,0,0,0
