,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,1,0,0,0,1,0,0,0,0
1,0,0,2,0,0,0,0,0,0,2
2,0,0,2,0,0,0,0,2,0,0
3,0,0,0,0,1,0,0,0,1,0
4,0,0,0,14,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,2,2
6,0,0,0,0,0,0,0,2,0,2
7,8,0,8,0,0,0,0,0,0,0
8,0,14,0,0,0,0,0,0,0,14
9,0,0,0,1,0,0,1,0,0,0
10,0,0,0,3,0,0,3,0,0,0
11,0,2,0,2,0,0,0,0,0,0
12,0,0,0,0,2,2,0,0,0,0
13,4,0,4,0,0,0,0,0,0,0
14,0,0,0,2,0,0,0,0,0,2
15,0,0,0,7,0,0,0,0,0,7
16,4,0,0,0,4,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0,1
18,149,0,0,0,0,0,149,0,0,0
19,0,12,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,0,1
21,0,0,0,0,0,1,0,0,1,0
22,0,0,0,0,0,13,0,0,0,13
23,0,0,0,0,0,0,0,0,4,4
24,0,1,0,0,0,0,0,0,1,0
25,2,0,0,0,0,0,2,0,0,0
26,0,4,0,0,0,0,0,0,4,0
27,7,0,7,0,0,0,0,0,0,0
28,0,0,0,0,7,7,0,0,0,0
29,0,0,0,0,0,0,10,0,0,10
30,0,0,0,3,0,0,3,0,0,0
31,0,0,0,0,0,6,6,0,0,0
32,0,0,0,2,0,0,0,0,0,0
33,1,0,0,1,0,0,0,0,0,0
34,0,0,0,1,0,1,0,0,0,0
35,0,0,0,1,1,0,0,0,0,0
36,0,0,4,0,0,0,0,4,0,0
37,0,0,0,0,0,15,0,0,15,0
38,0,0,2,0,0,0,2,0,0,0
39,0,0,0,0,0,92,0,92,0,0
40,0,0,0,0,0,0,0,4,0,4
41,0,1,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,15,0,15
43,2,0,0,0,2,0,0,0,0,0
44,0,0,0,0,0,1,0,1,0,0
45,1,0,0,0,1,0,0,0,0,0
46,0,0,0,0,0,32,0,32,0,0
47,0,0,0,2,0,0,0,0,0,2
48,0,0,0,0,0,5,0,0,0,5
49,0,0,0,0,0,1,0,1,0,0
50,0,0,0,29,29,0,0,0,0,0
51,0,0,9,9,0,0,0,0,0,0
52,0,0,0,1,1,0,0,0,0,0
53,3,0,0,0,0,0,3,0,0,0
54,0,0,0,0,0,0,6,0,6,0
55,0,0,0,1,0,1,0,0,0,0
56,0,3,0,0,0,0,0,3,0,0
57,0,0,30,0,0,0,30,0,0,0
58,0,0,1,0,0,0,0,0,0,1
59,0,4,0,0,0,0,4,0,0,0
60,0,3,0,0,0,0,0,3,0,0
61,0,0,0,0,0,5,0,0,5,0
62,0,0,0,0,0,0,0,0,7,7
63,0,2,0,0,0,0,0,2,0,0
64,0,0,4,0,4,0,0,0,0,0
65,0,0,0,0,57,57,0,0,0,0
66,0,0,0,0,0,0,0,4,0,4
67,0,0,0,0,0,0,0,742,0,0
68,0,0,0,0,0,0,0,1,0,1
69,0,2,0,0,0,2,0,0,0,0
70,0,0,4,4,0,0,0,0,0,0
71,1,0,0,0,0,0,1,0,0,0
72,0,0,0,0,0,0,0,1,0,1
73,0,0,0,0,0,0,4,0,0,4
74,0,3,0,0,0,0,0,3,0,0
75,0,0,0,1,0,0,1,0,0,0
76,3,0,0,0,3,0,0,0,0,0
77,0,2,0,0,0,0,0,0,0,0
78,0,0,0,2,0,2,0,0,0,0
79,0,0,2,0,0,0,0,0,2,0
80,0,0,0,0,0,0,23,23,0,0
81,0,0,0,26,0,0,0,26,0,0
82,0,0,0,0,0,3,0,0,0,3
83,14,0,0,0,14,0,0,0,0,0
84,0,0,0,0,2,2,0,0,0,0
85,0,2,0,0,0,2,0,0,0,0
86,5,5,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,1,0,0,0
88,0,1,0,0,0,0,1,0,0,0
89,0,0,4,0,0,0,4,0,0,0
90,0,0,0,0,0,27,0,27,0,0
91,0,0,0,0,0,0,0,1,0,1
92,1,0,1,0,0,0,0,0,0,0
93,0,0,0,78,0,0,78,0,0,0
94,0,1,0,0,0,1,0,0,0,0
95,0,2,2,0,0,0,0,0,0,0
96,0,0,0,0,0,0,3,3,0,0
97,0,0,0,4,0,0,0,0,0,0
98,0,0,7,0,0,7,0,0,0,0
99,0,0,0,3,0,0,0,0,3,0
100,3,0,0,3,0,0,0,0,0,0
101,1,0,0,0,1,0,0,0,0,0
102,0,0,0,0,0,0,0,16,0,16
103,0,2,0,0,0,0,0,0,0,2
104,0,0,2,2,0,0,0,0,0,0
105,0,0,0,9,0,0,0,0,0,9
106,0,0,0,2,0,0,0,0,0,0
107,0,7,0,0,0,0,7,0,0,0
108,0,0,22,0,0,0,22,0,0,0
109,0,0,0,1,0,0,0,1,0,0
110,0,0,3,0,0,3,0,0,0,0
111,9,0,9,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,2,2
113,0,0,1,0,1,0,0,0,0,0
114,0,0,0,3,0,0,3,0,0,0
115,0,1,0,0,0,0,1,0,0,0
116,0,0,0,22,0,22,0,0,0,0
117,0,2,0,0,0,0,0,0,0,2
118,0,0,4,0,4,0,0,0,0,0
119,0,0,0,0,40,0,0,0,0,40
120,0,0,0,176,0,0,0,0,0,0
121,0,0,0,0,1,1,0,0,0,0
122,6,0,0,0,6,0,0,0,0,0
123,0,1,0,0,0,1,0,0,0,0
124,0,0,0,0,0,0,0,0,1,1
125,0,0,0,0,0,0,0,0,2,2
126,0,16,0,0,0,0,0,0,16,0
127,0,0,1,0,0,0,0,1,0,0
128,3,0,0,0,3,0,0,0,0,0
129,0,0,0,21,0,21,0,0,0,0
130,2,0,2,0,0,0,0,0,0,0
131,0,1,0,0,0,0,0,0,0,1
132,0,0,0,0,0,0,0,1,0,1
133,0,0,0,0,0,0,0,2,2,0
134,0,0,0,5,0,0,0,0,5,0
135,0,0,3,0,3,0,0,0,0,0
136,0,0,0,0,0,0,0,2,0,2
137,0,18,0,0,0,18,0,0,0,0
138,0,0,1,0,0,1,0,0,0,0
139,0,0,0,4,0,0,4,0,0,0
140,1,0,0,0,0,0,0,0,1,0
141,0,0,0,13,0,0,0,0,13,0
142,2,0,0,0,2,0,0,0,0,0
143,0,0,0,0,1,0,1,0,0,0
144,0,0,0,0,0,0,2,0,2,0
145,0,0,1,0,0,0,0,1,0,0
146,1,0,0,0,0,0,0,0,0,1
147,0,0,1,0,1,0,0,0,0,0
148,0,0,0,0,1,0,0,0,1,0
149,0,0,0,0,4,4,0,0,0,0
