,Label_0,Label_1,Label_2,Label_3,Label_4,Label_5,Label_6,Label_7,Label_8,Label_9
0,0,0,0,16,16,0,0,0,0,16
1,618,0,0,618,618,0,0,0,0,0
2,0,0,0,0,25,0,25,0,0,25
3,178,0,0,0,0,0,89,0,0,0
4,0,0,0,236,0,0,118,0,0,0
5,0,0,0,1,1,0,1,0,0,0
6,0,0,47,47,0,0,0,0,0,47
7,0,0,185,0,0,185,0,0,185,0
8,0,0,0,0,159,0,159,0,0,159
9,11,11,11,0,0,0,0,0,0,0
10,0,0,22,0,0,0,22,22,0,0
11,609,609,0,0,609,0,0,0,0,0
12,1,0,0,0,0,0,1,1,0,0
13,0,860,0,860,0,0,860,0,0,0
14,0,0,0,0,59,59,0,0,59,0
15,386,0,0,0,386,0,386,0,0,0
16,0,0,0,456,0,0,0,0,912,0
17,0,0,213,0,213,0,0,213,0,0
18,0,0,0,0,0,2,0,0,2,2
19,0,138,0,0,138,138,0,0,0,0
20,178,0,0,178,0,178,0,0,0,0
21,0,22,0,22,22,0,0,0,0,0
22,10,0,0,10,0,0,0,0,0,10
23,0,0,0,22,0,0,22,0,0,22
24,0,0,1340,0,0,0,670,0,0,0
25,0,0,143,0,0,0,286,0,0,0
26,0,147,0,147,0,0,0,0,0,147
27,0,0,0,0,5,5,0,0,0,5
28,0,0,0,62,62,0,0,0,0,62
29,0,0,0,123,0,0,123,0,123,0
30,0,0,0,0,109,0,109,109,0,0
31,0,0,101,0,0,0,101,0,0,101
32,0,0,0,412,0,0,0,824,0,0
33,0,0,166,0,0,332,0,0,0,0
34,0,0,0,9,9,0,0,0,9,0
35,0,0,44,0,0,0,22,0,0,0
36,49,49,0,49,0,0,0,0,0,0
37,0,0,39,0,0,0,39,39,0,0
38,0,2,0,0,0,0,1,0,0,0
39,0,0,0,64,64,0,64,0,0,0
40,0,0,0,0,0,0,1758,1758,1758,0
41,0,0,0,0,0,0,0,85,85,85
42,18,18,0,0,0,18,0,0,0,0
43,0,34,0,0,0,0,34,0,34,0
44,0,0,35,0,0,0,35,0,35,0
45,0,0,0,74,74,0,0,74,0,0
46,13,0,0,0,0,0,0,0,0,26
47,0,0,0,0,11,0,0,11,11,0
48,86,0,0,0,0,0,86,0,0,86
49,0,0,0,0,0,0,0,0,414,828
